part,error,model
0,0.2034393327753146,svd
0,0.20275939337254664,knn
0,0.20777229922318036,autorec
1,0.20597214539502454,svd
1,0.20337128613459396,knn
1,0.2091523166178251,autorec
2,0.20290390531572247,svd
2,0.20538933898129122,knn
2,0.2043211069323312,autorec
3,0.20346423025484195,svd
3,0.20447463900582796,knn
3,0.20765101072946338,autorec
4,0.20553369788066125,svd
4,0.20358909708789613,knn
4,0.20696294200684512,autorec
5,0.20332681918362688,svd
5,0.20696926899107565,knn
5,0.20920163200393357,autorec
6,0.20210252838499967,svd
6,0.20356700116855572,knn
6,0.20878457360269018,autorec
7,0.2023795251868334,svd
7,0.20455975381214875,knn
7,0.2060111167000919,autorec
8,0.20439479813619782,svd
8,0.20554892552986315,knn
8,0.206777171379321,autorec
9,0.20399613426145924,svd
9,0.20346354701057245,knn
9,0.2121131532409498,autorec
